initial population	
1950	210.995
1951	215.704
1952	219.636
1953	222.808
1954	225.263
1955	227.076
1956	228.349
1957	229.214
1958	229.826
1959	230.35
1960	230.934
1961	231.674
1962	232.584
1963	233.587
1964	234.547
1965	235.373
1966	236.043
1967	236.62
1968	237.199
1969	237.911
1970	238.847
1971	240.038
1972	241.441
1973	242.98
1974	244.539
1975	246.033
1976	247.444
1977	248.785
1978	250.035
1979	251.176
1980	252.197
1981	253.08
1982	253.836
1983	254.515
1984	255.195
1985	255.929
1986	256.738
1987	257.609
1988	258.524
1989	259.454
1990	260.374
1991	261.281
1992	262.184
1993	263.091
1994	264.015
1995	264.962
1996	265.94
1997	266.944
1998	267.949
1999	268.92
2000	269.838
2001	270.686
2002	271.479
2003	272.261
2004	273.091
2005	274.013
2006	275.04
2007	276.154
2008	277.315
2009	278.466
2010	279.566
2011	280.602
2012	281.58
2013	282.503
2014	283.38
2015	284.215
net migration rate	
1950	-6.23
1955	-15.113
1960	-13.642
1965	-10.021
1970	-4.482
1975	-2.886
1980	-4.4
1985	-3.159
1990	-2.485
1995	-0.99
2000	-0.057
2005	1.481
2010	1.547
2015	1.4
crude birth rate	
1950	34.444
1955	31.587
1960	29.146
1965	23.5
1970	20.473
1975	18.001
1980	17.632
1985	16.493
1990	15.549
1995	14.39
2000	13.284
2005	12.743
2010	12.234
2015	11.8
crude death rate	
1950	13.53
1955	13.105
1960	11.696
1965	10.549
1970	10.063
1975	10.166
1980	10.294
1985	9.891
1990	9.571
1995	9.753
2000	10.156
2005	10.212
2010	10.482
2015	10.9
N	
1950	210.995
1951	215.704
1952	219.636
1953	222.808
1954	225.263
1955	227.076
1956	228.349
1957	229.214
1958	229.826
1959	230.35
1960	230.934
1961	231.674
1962	232.584
1963	233.587
1964	234.547
1965	235.373
1966	236.043
1967	236.62
1968	237.199
1969	237.911
1970	238.847
1971	240.038
1972	241.441
1973	242.98
1974	244.539
1975	246.033
1976	247.444
1977	248.785
1978	250.035
1979	251.176
1980	252.197
1981	253.08
1982	253.836
1983	254.515
1984	255.195
1985	255.929
1986	256.738
1987	257.609
1988	258.524
1989	259.454
1990	260.374
1991	261.281
1992	262.184
1993	263.091
1994	264.015
1995	264.962
1996	265.94
1997	266.944
1998	267.949
1999	268.92
2000	269.838
2001	270.686
2002	271.479
2003	272.261
2004	273.091
2005	274.013
2006	275.04
2007	276.154
2008	277.315
2009	278.466
2010	279.566
2011	280.602
2012	281.58
2013	282.503
2014	283.38
2015	284.215
