## INITIAL VALUES,,,,,,,,,,,,,,,
Exports,3084,mln LC/year,,,,,,,,,,,,,
Capital stocks,27880,mln LC,,,,,,,,,,,,,
Net external debt,421.9,mln USD,,,,,,,,,,,,,
Population,280.4,thous people,,,,,,,,,,,,,
Utilization,0.8807,,,,,,,,,,,,,,
Consumer price inflation,0.049,,,,,,,,,,,,,,
Consumption price,1.365,,,,,,,,,,,,,,
GDP price level,1.059,,,,,,,,,,,,,,
Wage/basic consumption,20.97717546,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
## TIME,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,,,,,
## DEMOGRAPHICS,,,,,,,,,,,,,,,
Net migration rate,0.06,0.26,0.36,0.5,0.68,0.86,1.03,1.18,1.31,1.46,,,,,
Crude birth rate,11.91,11.69,11,10.24,9.74,9.17,8.63,8.43,8.34,8.22,,,,,
Crude death rate,11.84,11.39,11.44,11.95,12.89,14.14,15.57,16.9,17.95,18.63,,,,,
## GDP,,,,,,,,,,,,,,,
Marginal expenditure on domestic goods,0.899556,0.899556,0.899556,0.899556,0.899556,0.899556,0.899556,0.899556,0.899556,0.899556,,,,,
Minimum consumption level,1,1,1,1,1,1,1,1,1,1,,,,,
Wage share -- domestic,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,
Wage share -- exports,0.339368,0.339368,0.339368,0.339368,0.339368,0.339368,0.339368,0.339368,0.339368,0.339368,,,,,
tech coeff xd,0.115475,0.115475,0.115475,0.115475,0.115475,0.115475,0.115475,0.115475,0.115475,0.115475,,,,,
tech coeff dx,0.356656,0.356656,0.356656,0.356656,0.356656,0.356656,0.356656,0.356656,0.356656,0.356656,,,,,
c x,0.776069,0.776069,0.776069,0.776069,0.776069,0.776069,0.776069,0.776069,0.776069,0.776069,,,,,
wage smoothing,0.877809,0.877809,0.877809,0.877809,0.877809,0.877809,0.877809,0.877809,0.877809,0.877809,,,,,
GDP growth smoothing,1,1,1,1,1,1,1,1,1,1,,,,,
## IMPORTS,,,,,,,,,,,,,,,
Base import propensity,0.456411,0.456411,0.456411,0.456411,0.456411,0.456411,0.456411,0.456411,0.456411,0.456411,,,,,
Import elasticity,0,0,0,0,0,0,0,0,0,0,,,,,
## EXPORTS,,,,,,,,,,,,,## FOR REFERENCE,,
Mean growth rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,Mean gr,SD gr
SD of growth rate,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,,,Puerto Rico,0.04,0.084
## INVESTMENT AND SAVING,,,,,,,,,,,,,Trinidad & Tobago,0.06,0.132
Base gross investment rate,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,0.0416519,,,Barbados,0.02,0.088
Depreciation rate,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,  with tourism + exports,0.026070458,0.122961354
Sensitivity to utilization,0,0,0,0,0,0,0,0,0,0,,,Hong Kong,0.08,0.072
Sensitivity to debt,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889,,,Singapore,0.11,0.077
Interest rate on debt,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,
Reference debt-to-GDP level,0.541861,0.541861,0.541861,0.541861,0.541861,0.541861,0.541861,0.541861,0.541861,0.541861,,,,,
## PRICES,,,,,,,,,,,,,,,
Exchange rate,2,2,2,2,2,2,2,2,2,2,,,,,
Consumer price inflation offset,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,
Price level - investment,0.53,0.626943706,0.720938328,0.805776688,0.87520063,0.923645664,0.946968874,0.970881025,0.995396988,1.020532009,,,,,
Price level - imports,0.78,0.922671869,1.061003577,1.185860031,1.288031116,1.359327581,1.393652306,1.428843773,1.464923869,1.501915032,,,,,
Price level - exports,0.66,0.780722351,0.897772258,1.003420026,1.089872483,1.150200261,1.179244259,1.209021654,1.239550966,1.270851181,,,,,
## STORM DAMAGE,,,,,,,,,,,,,,,
SST scenario multiplier,1,,,,,,,,,,,,,,
## REMITTANCES,,,,,,,,,,,,,,,
personal remittances per capita,0.98125,1.057084929,1.138780685,1.226790215,1.321601475,1.423740129,1.533772466,1.652308544,1.780005564,1.91757152,,,,,
remitted profits as a share of capital,0,0,0,0,0,0,0,0,0,0,,,,,
