## INITIAL VALUES,,,,,,,,,,,,,,,,,,,,,,,
Exports,3084,mln LC/year,,,,,,,,,,,,,,,,,,,,,
Capital stocks,27880,mln LC,,,,,,,,,,,,,,,,,,,,,
Net external debt,421.9,mln USD,,,,,,,,,,,,,,,,,,,,,
Population,280.4,thous people,,,,,,,,,,,,,,,,,,,,,
Utilization,1.019,,,,,,,,,,,,,,,,,,,,,,
Consumer price inflation,0.049,,,,,,,,,,,,,,,,,,,,,,
Consumption price,1.365,,,,,,,,,,,,,,,,,,,,,,
GDP price level,1.059,,,,,,,,,,,,,,,,,,,,,,
Wage/basic consumption,21.46,,,,,,,,,,,,,,,,,,,,,,
Loss of capital from 2-year storm,0.0083,,,,,,,,,,,,,,,,,,,,,,
Return period for damage threshold,5,years,,,,,,,,,,,,,,,,,,,,,
## SWITCHES,,,,,,,,,,,,,,,,,,,,,,,
Rebuild after climate damage,1,Set to 1 if climate damage is made up in the subsequent time period through additional investment,,,,,,,,,,,,,,,,,,,,,
## TIME,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,,,,,,,,,,,,,
## DEMOGRAPHICS,,,,,,,,,,,,,,,,,,,,,,,
# Net migration rate,,,,,,,,,,,,,,,,,,,,,,,
CS1,1.547,1.447,1.363,1.291,1.226,1.167,1.119,1.077,1.034,0.99,,,,,,,,,,,,,
CS2,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,,
CS3,0.05,0.1,0.11,0.15,0.2,0.26,0.31,0.37,0.43,0.5,,,,,,,,,,,,,
CS4,0.06,0.14,0.19,0.29,0.4,0.5,0.59,0.66,0.21,0.21,,,,,,,,,,,,,
# Crude birth rate,,,,,,,,,,,,,,,,,,,,,,,
CS1,12.234,11.809,11.437,11.15,10.965,10.87,10.827,10.787,10.735,10.677,,,,,,,,,,,,,
CS2,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,,,,,,,,,,,,,
CS3,11.91,12.22,12.3,12.21,11.79,11.36,11.24,11.49,11.85,12.2,,,,,,,,,,,,,
CS4,11.91,11.1,10.17,9.1,8.31,7.69,7.14,6.71,6.44,6.27,,,,,,,,,,,,,
# Crude death rate,,,,,,,,,,,,,,,,,,,,,,,
CS1,10.482,10.856,11.363,11.989,12.701,13.381,13.878,14.173,14.101,13.817,,,,,,,,,,,,,
CS2,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,,,,,,,,,,,,,
CS3,11.84,11.71,12.08,12.92,14.18,15.74,17.33,18.65,19.45,19.68,,,,,,,,,,,,,
CS4,11.84,11.37,11.48,12.06,13.11,14.53,16.17,17.79,19.19,20.28,,,,,,,,,,,,,
## GDP,,,,,,,,,,,,,,,,,,,,,,,
Marginal expenditure on domestic goods,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
Minimum consumption level,1.08764,1.08764,1.08764,1.08764,1.08764,1.08764,1.08764,1.08764,1.08764,1.08764,,,,,,,,,,,,,
Wage share -- domestic,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,,,,
Wage share -- exports,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,
tech coeff xd,0.188699,0.188699,0.188699,0.188699,0.188699,0.188699,0.188699,0.188699,0.188699,0.188699,,,,,,,,,,,,,
tech coeff dx,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,
c x,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
wage smoothing,1.96137,1.96137,1.96137,1.96137,1.96137,1.96137,1.96137,1.96137,1.96137,1.96137,,,,,,,,,,,,,
GDP growth smoothing,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
## IMPORTS,,,,,,,,,,,,,,,,,,,,,,,
Base import propensity,0.176594,0.176594,0.176594,0.176594,0.176594,0.176594,0.176594,0.176594,0.176594,0.176594,,,,,,,,,,,,,
Import elasticity,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,-0.122952,,,,,,,,,,,,,
## EXPORTS,,,,,,,,,,,,,## FOR REFERENCE,,,,,,,,,,
# Mean growth rate,,,,,,,,,,,,,,Mean gr,SD gr,,,,,,,,
CS1,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,,,Puerto Rico,0.04,0.084,,,,,,,,
CS2,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,0.026070458,,,Trinidad & Tobago,0.06,0.132,,,,,,,,
CS3,0.03,0.02,0.015,0.015,0.01,0.01,0.01,0.01,0.01,0.01,,,Barbados,0.02,0.088,,,,,,,,
CS4,0.03,0.02,-0.02,-0.01,0,0.01,0.01,0.01,0.01,0.15,,,  with tourism + exports,0.026070458,0.122961354,,,,,,,,
# SD of growth rate,,,,,,,,,,,,,Hong Kong,0.08,0.072,,,,,,,,
CS1,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,,,Singapore,0.11,0.077,,,,,,,,
CS2,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,0.122961354,,,,,,,,,,,,,
CS3,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,,,,,,,,,,,,,
CS4,0.12,0.12,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,
## INVESTMENT AND SAVING,,,,,,,,,,,,,,,,,,,,,,,
Base gross investment rate,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,,,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,
Depreciation rate,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
Sensitivity to utilization,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,,,,,,,,,,,,,
Sensitivity to debt,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,,,,,,,,,,,,,
Interest rate on debt,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
NOT USED,,,,,,,,,,,,,,,,,,,,,,,
Reference debt-to-GDP level,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,,,,,,,,,,,,,
## PRICES,,,,,,,,,,,,,,,,,,,,,,,
Exchange rate,2,2,2,2,2,2,2,2,2,2,,gr,,,,,,,,,,,
Consumer price inflation offset,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
